id,source_platform,title,source_url,authority_tier,severity_estimated,severity_analysis_label,severity_review_status,severity_review_reason,severity_source,impact_type,reachability,blast_radius,root_cause,attack_path,label,severity_why
besu:ghsa-advisory:GHSA-4456-w38r-m53x,besu,Gas allocation error in CALL operations in Besu EVM [GHSA-4456-w38r-m53x CVE-2022-36025],https://github.com/besu-eth/besu/security/advisories/GHSA-4456-w38r-m53x,A_authoritative,Critical,Critical,confirmed_bounty_grade,Published bounty grade; no LLM correction applied.,bounty-graded,,,,integer_overflow_underflow,malicious_tx,gas,
geth:ghsa-advisory:GHSA-m6gx-rhvj-fh52,geth,Denial of service due to Go CVE-2020-28362 [GHSA-m6gx-rhvj-fh52 CVE-2020-28362],https://github.com/ethereum/go-ethereum/security/advisories/GHSA-m6gx-rhvj-fh52,A_authoritative,Critical,Critical,confirmed_bounty_grade,Published bounty grade; no LLM correction applied.,bounty-graded,,,,resource_exhaustion,malformed_input,other,
besu:hyperledger-besu:GHSA-7pg2-p5vj-xp5h,besu,"SHL, SHR, and SAR operations trigger native exception at key values",https://github.com/besu-eth/besu/security/advisories/GHSA-7pg2-p5vj-xp5h,A_authoritative,High,High,confirmed_bounty_grade,Published bounty grade; no LLM correction applied.,bounty-graded,,,,missing_input_validation,malformed_input,evm,
475682d10d661b75,consensus-specs,Ethereum 2.0 Networking Specification,https://github.com/ethereum/consensus-specs/pull/1328,A_authoritative,High,High,confirmed_bounty_grade,Published bounty grade; no LLM correction applied.,bounty-graded,,,,other,internal_only,p2p,
geth:ethereum-go-ethereum:GHSA-2gjw-fg97-vg3r,geth,DoS via malicious p2p message,https://github.com/ethereum/go-ethereum/security/advisories/GHSA-2gjw-fg97-vg3r,A_authoritative,High,High,confirmed_bounty_grade,Published bounty grade; no LLM correction applied.,bounty-graded,,,,resource_exhaustion,malicious_p2p_message,crypto,
geth:ethereum-go-ethereum:GHSA-69v6-xc2j-r2jf,geth,Shallow copy in the 0x4 precompile could lead to EVM memory corruption,https://github.com/ethereum/go-ethereum/security/advisories/GHSA-69v6-xc2j-r2jf,A_authoritative,High,High,confirmed_bounty_grade,Published bounty grade; no LLM correction applied.,bounty-graded,,,,improper_state_update,malicious_tx,precompiles,
geth:ethereum-go-ethereum:GHSA-9856-9gg9-qcmq,geth,RETURNDATA corruption via datacopy,https://github.com/ethereum/go-ethereum/security/advisories/GHSA-9856-9gg9-qcmq,A_authoritative,High,High,confirmed_bounty_grade,Published bounty grade; no LLM correction applied.,bounty-graded,,,,consensus_divergence,malicious_tx,opcodes,
geth:ethereum-go-ethereum:GHSA-jm5c-rv3w-w83m,geth,Denial of service via `MulMod`,https://github.com/ethereum/go-ethereum/security/advisories/GHSA-jm5c-rv3w-w83m,A_authoritative,High,High,confirmed_bounty_grade,Published bounty grade; no LLM correction applied.,bounty-graded,,,,integer_overflow_underflow,malformed_input,opcodes,
geth:ethereum-go-ethereum:GHSA-xw37-57qp-9mm4,geth,Consensus flaw during block processing,https://github.com/ethereum/go-ethereum/security/advisories/GHSA-xw37-57qp-9mm4,A_authoritative,High,High,confirmed_bounty_grade,Published bounty grade; no LLM correction applied.,bounty-graded,,,,consensus_divergence,crafted_state,transactions,
ece24a10f23119be,lighthouse,Improve validator monitor experience for high validator counts (#3728),https://github.com/sigp/lighthouse/commit/830efdb5c2723209030e83378b2d8e44f9a6b97f,A_authoritative,High,High,confirmed_bounty_grade,Published bounty grade; no LLM correction applied.,bounty-graded,,,,missing_input_validation,malicious_attestation,beacon-chain:attestation,
lighthouse:sigp-lighthouse:GHSA-wm9c-xvqq-5c28,lighthouse,Incorrect processing of effective balances in Electra epoch processing,https://github.com/sigp/lighthouse/security/advisories/GHSA-wm9c-xvqq-5c28,A_authoritative,High,High,confirmed_bounty_grade,Published bounty grade; no LLM correction applied.,bounty-graded,,,,missing_input_validation,crafted_state,beacon-chain:sync-committee,
3f495d3767bd5a5f,lodestar,Run sim single node test with Geth catalyst to finality,https://github.com/ChainSafe/lodestar/pull/3287,A_authoritative,High,High,confirmed_bounty_grade,Published bounty grade; no LLM correction applied.,bounty-graded,,,,missing_input_validation,crafted_state,beacon-chain:execution-payload,
