id,source_platform,severity_estimated,cwe_top25,cwe_known,cwe_2025_top25,root_cause,label,attack_path,title,source_url
besu:ghsa-advisory:GHSA-4456-w38r-m53x,besu,Critical,CWE-190,True,False,integer_overflow_underflow,gas,malicious_tx,Gas allocation error in CALL operations in Besu EVM [GHSA-4456-w38r-m53x CVE-2022-36025],https://github.com/besu-eth/besu/security/advisories/GHSA-4456-w38r-m53x
geth:ghsa-advisory:GHSA-m6gx-rhvj-fh52,geth,Critical,CWE-400,True,False,resource_exhaustion,other,malformed_input,Denial of service due to Go CVE-2020-28362 [GHSA-m6gx-rhvj-fh52 CVE-2020-28362],https://github.com/ethereum/go-ethereum/security/advisories/GHSA-m6gx-rhvj-fh52
besu:hyperledger-besu:GHSA-7pg2-p5vj-xp5h,besu,High,N/A,False,False,missing_input_validation,evm,malformed_input,"SHL, SHR, and SAR operations trigger native exception at key values",https://github.com/besu-eth/besu/security/advisories/GHSA-7pg2-p5vj-xp5h
475682d10d661b75,consensus-specs,High,N/A,False,False,other,p2p,internal_only,Ethereum 2.0 Networking Specification,https://github.com/ethereum/consensus-specs/pull/1328
geth:ethereum-go-ethereum:GHSA-2gjw-fg97-vg3r,geth,High,N/A,False,False,resource_exhaustion,crypto,malicious_p2p_message,DoS via malicious p2p message,https://github.com/ethereum/go-ethereum/security/advisories/GHSA-2gjw-fg97-vg3r
geth:ethereum-go-ethereum:GHSA-69v6-xc2j-r2jf,geth,High,CWE-439,True,False,improper_state_update,precompiles,malicious_tx,Shallow copy in the 0x4 precompile could lead to EVM memory corruption,https://github.com/ethereum/go-ethereum/security/advisories/GHSA-69v6-xc2j-r2jf
geth:ethereum-go-ethereum:GHSA-9856-9gg9-qcmq,geth,High,N/A,False,False,consensus_divergence,opcodes,malicious_tx,RETURNDATA corruption via datacopy,https://github.com/ethereum/go-ethereum/security/advisories/GHSA-9856-9gg9-qcmq
geth:ethereum-go-ethereum:GHSA-jm5c-rv3w-w83m,geth,High,N/A,False,False,integer_overflow_underflow,opcodes,malformed_input,Denial of service via `MulMod`,https://github.com/ethereum/go-ethereum/security/advisories/GHSA-jm5c-rv3w-w83m
geth:ethereum-go-ethereum:GHSA-xw37-57qp-9mm4,geth,High,N/A,False,False,consensus_divergence,transactions,crafted_state,Consensus flaw during block processing,https://github.com/ethereum/go-ethereum/security/advisories/GHSA-xw37-57qp-9mm4
ece24a10f23119be,lighthouse,High,N/A,False,False,missing_input_validation,beacon-chain:attestation,malicious_attestation,Improve validator monitor experience for high validator counts (#3728),https://github.com/sigp/lighthouse/commit/830efdb5c2723209030e83378b2d8e44f9a6b97f
lighthouse:sigp-lighthouse:GHSA-wm9c-xvqq-5c28,lighthouse,High,N/A,False,False,missing_input_validation,beacon-chain:sync-committee,crafted_state,Incorrect processing of effective balances in Electra epoch processing,https://github.com/sigp/lighthouse/security/advisories/GHSA-wm9c-xvqq-5c28
3f495d3767bd5a5f,lodestar,High,N/A,False,False,missing_input_validation,beacon-chain:execution-payload,crafted_state,Run sim single node test with Geth catalyst to finality,https://github.com/ChainSafe/lodestar/pull/3287
4f09bedbf1707694,lodestar,High,N/A,False,False,missing_input_validation,fork-choice,malicious_attestation,Implement Kintsugi specs :tea: (the Merge November sprint PR),https://github.com/ChainSafe/lodestar/pull/3418
7482623489bc990c,lodestar,High,N/A,False,False,missing_input_validation,beacon-chain:justification-and-finality,malicious_p2p_message,feat: eip-8025 optional execution proofs,https://github.com/ChainSafe/lodestar/pull/8918
dc7e3fa111ce0e2a,lodestar,High,N/A,False,False,consensus_divergence,beacon-chain:execution-payload,crafted_state,rename random to prevRandao as per the kiln v2 specs,https://github.com/ChainSafe/lodestar/pull/3787
b89b66ccf953baca,nimbus,High,N/A,False,False,serialization_bug,beacon-chain:attestation,malicious_attestation,2 changes getting us closer to interop,https://github.com/status-im/nimbus-eth2/pull/918
b1a6e88b2f095f12,reth,High,N/A,False,False,missing_input_validation,rpc,malformed_input,feat(trie): geth-compatible zero hashes for non-existent accounts in eth_getProof,https://github.com/paradigmxyz/reth/pull/24360
f960a5728e79e59b,reth,High,N/A,False,False,consensus_divergence,engine-api,malformed_input,feat: Check CL/Reth capability compatibility,https://github.com/paradigmxyz/reth/pull/20348
