client,layer,share_low,share_high,tier,ef_network_threshold,min_reach_at_share_high,min_reach_at_share_low,client_specific_tier_feasible,share_bands_provenance
besu,execution,0.0,0.1,Critical,0.5,5.0,,False,unsourced prose tiers inherited from collection/estimate_severity.py; no observation date
besu,execution,0.0,0.1,High,0.33,3.3,,False,unsourced prose tiers inherited from collection/estimate_severity.py; no observation date
besu,execution,0.0,0.1,Medium,0.05,0.5,,True,unsourced prose tiers inherited from collection/estimate_severity.py; no observation date
besu,execution,0.0,0.1,Low,0.0001,0.001,,True,unsourced prose tiers inherited from collection/estimate_severity.py; no observation date
erigon,execution,0.1,0.2,Critical,0.5,2.5,5.0,False,unsourced prose tiers inherited from collection/estimate_severity.py; no observation date
erigon,execution,0.1,0.2,High,0.33,1.65,3.3,False,unsourced prose tiers inherited from collection/estimate_severity.py; no observation date
erigon,execution,0.1,0.2,Medium,0.05,0.25,0.5,True,unsourced prose tiers inherited from collection/estimate_severity.py; no observation date
erigon,execution,0.1,0.2,Low,0.0001,0.0005,0.001,True,unsourced prose tiers inherited from collection/estimate_severity.py; no observation date
geth,execution,0.45,0.55,Critical,0.5,0.9091,1.1111,True,unsourced prose tiers inherited from collection/estimate_severity.py; no observation date
geth,execution,0.45,0.55,High,0.33,0.6,0.7333,True,unsourced prose tiers inherited from collection/estimate_severity.py; no observation date
geth,execution,0.45,0.55,Medium,0.05,0.0909,0.1111,True,unsourced prose tiers inherited from collection/estimate_severity.py; no observation date
geth,execution,0.45,0.55,Low,0.0001,0.0002,0.0002,True,unsourced prose tiers inherited from collection/estimate_severity.py; no observation date
grandine,consensus,0.0,0.05,Critical,0.5,10.0,,False,unsourced prose tiers inherited from collection/estimate_severity.py; no observation date
grandine,consensus,0.0,0.05,High,0.33,6.6,,False,unsourced prose tiers inherited from collection/estimate_severity.py; no observation date
grandine,consensus,0.0,0.05,Medium,0.05,1.0,,True,unsourced prose tiers inherited from collection/estimate_severity.py; no observation date
grandine,consensus,0.0,0.05,Low,0.0001,0.002,,True,unsourced prose tiers inherited from collection/estimate_severity.py; no observation date
lighthouse,consensus,0.3,0.4,Critical,0.5,1.25,1.6667,False,unsourced prose tiers inherited from collection/estimate_severity.py; no observation date
lighthouse,consensus,0.3,0.4,High,0.33,0.825,1.1,True,unsourced prose tiers inherited from collection/estimate_severity.py; no observation date
lighthouse,consensus,0.3,0.4,Medium,0.05,0.125,0.1667,True,unsourced prose tiers inherited from collection/estimate_severity.py; no observation date
lighthouse,consensus,0.3,0.4,Low,0.0001,0.0003,0.0003,True,unsourced prose tiers inherited from collection/estimate_severity.py; no observation date
lodestar,consensus,0.0,0.05,Critical,0.5,10.0,,False,unsourced prose tiers inherited from collection/estimate_severity.py; no observation date
lodestar,consensus,0.0,0.05,High,0.33,6.6,,False,unsourced prose tiers inherited from collection/estimate_severity.py; no observation date
lodestar,consensus,0.0,0.05,Medium,0.05,1.0,,True,unsourced prose tiers inherited from collection/estimate_severity.py; no observation date
lodestar,consensus,0.0,0.05,Low,0.0001,0.002,,True,unsourced prose tiers inherited from collection/estimate_severity.py; no observation date
nethermind,execution,0.2,0.3,Critical,0.5,1.6667,2.5,False,unsourced prose tiers inherited from collection/estimate_severity.py; no observation date
nethermind,execution,0.2,0.3,High,0.33,1.1,1.65,False,unsourced prose tiers inherited from collection/estimate_severity.py; no observation date
nethermind,execution,0.2,0.3,Medium,0.05,0.1667,0.25,True,unsourced prose tiers inherited from collection/estimate_severity.py; no observation date
nethermind,execution,0.2,0.3,Low,0.0001,0.0003,0.0005,True,unsourced prose tiers inherited from collection/estimate_severity.py; no observation date
nimbus,consensus,0.0,0.1,Critical,0.5,5.0,,False,unsourced prose tiers inherited from collection/estimate_severity.py; no observation date
nimbus,consensus,0.0,0.1,High,0.33,3.3,,False,unsourced prose tiers inherited from collection/estimate_severity.py; no observation date
nimbus,consensus,0.0,0.1,Medium,0.05,0.5,,True,unsourced prose tiers inherited from collection/estimate_severity.py; no observation date
nimbus,consensus,0.0,0.1,Low,0.0001,0.001,,True,unsourced prose tiers inherited from collection/estimate_severity.py; no observation date
prysm,consensus,0.3,0.4,Critical,0.5,1.25,1.6667,False,unsourced prose tiers inherited from collection/estimate_severity.py; no observation date
prysm,consensus,0.3,0.4,High,0.33,0.825,1.1,True,unsourced prose tiers inherited from collection/estimate_severity.py; no observation date
prysm,consensus,0.3,0.4,Medium,0.05,0.125,0.1667,True,unsourced prose tiers inherited from collection/estimate_severity.py; no observation date
prysm,consensus,0.3,0.4,Low,0.0001,0.0003,0.0003,True,unsourced prose tiers inherited from collection/estimate_severity.py; no observation date
reth,execution,0.0,0.1,Critical,0.5,5.0,,False,unsourced prose tiers inherited from collection/estimate_severity.py; no observation date
reth,execution,0.0,0.1,High,0.33,3.3,,False,unsourced prose tiers inherited from collection/estimate_severity.py; no observation date
reth,execution,0.0,0.1,Medium,0.05,0.5,,True,unsourced prose tiers inherited from collection/estimate_severity.py; no observation date
reth,execution,0.0,0.1,Low,0.0001,0.001,,True,unsourced prose tiers inherited from collection/estimate_severity.py; no observation date
teku,consensus,0.1,0.15,Critical,0.5,3.3333,5.0,False,unsourced prose tiers inherited from collection/estimate_severity.py; no observation date
teku,consensus,0.1,0.15,High,0.33,2.2,3.3,False,unsourced prose tiers inherited from collection/estimate_severity.py; no observation date
teku,consensus,0.1,0.15,Medium,0.05,0.3333,0.5,True,unsourced prose tiers inherited from collection/estimate_severity.py; no observation date
teku,consensus,0.1,0.15,Low,0.0001,0.0007,0.001,True,unsourced prose tiers inherited from collection/estimate_severity.py; no observation date
