anchor,anchor_kind,anchor_source,client,fix_author_date,record_title,concerns_anchor,audit_reason
eip:7928,eip,prose,erigon,2026-03-06,"Fix BAL: selfdestruct balance filter, nil header guard, net-zero detection",yes,BAL is the EIP-7928 block access list; the fix is squarely on that surface
eip:7928,eip,prose,erigon,2026-03-09,EIP-7928: Add BAL max items cap and slot uniqueness validation (#19627),yes,Title names the EIP and the fix implements its validation rules
eip:8037,eip,prose,besu,2026-03-26,fix: check regular and state gas dimensions independently,yes,"Prose states the fix uses min(TX_MAX_GAS_LIMIT, tx.gas) because EIP-8037 permits tx.gas above the cap"
eip:7521,eip,prose,prysm,2024-10-31,Fix panic in validator REST mode when checking status after removing all keys,yes,"Prose says 'EIP7521 - Fixes withdrawal bug by accounting for pending partial withdrawals'; pending partial withdrawals are EIP-7251 (MaxEB), so the number is an author typo for 7251 and the fix does concern that surface"
eip:7521,eip,prose,lighthouse,2025-03-26,Incorrect processing of effective balances in Electra epoch processing,yes,"Prose writes 'MaxEB ([EIP-7521](https://eips.ethereum.org/EIPS/eip-7251))' - the link resolves to 7251, the same transposition as the Prysm record; effective-balance processing is that surface"
eip:8037,eip,prose,erigon,2026-03-09,EIP-7928: Add BAL max items cap and slot uniqueness validation (#19627),mentions_only,"Prose says EIP-7928 tests are 'skipped pending EIP-8037 state creation gas cost' - 8037 is named as a blocker, not as the subject of the fix"
eip:7975,eip,prose,erigon,2026-06-02,Peer hygiene / DoS hardening: cap and rate-limit inbound NewBlockHashes,mentions_only,The description is release notes enumerating other authors' PRs; EIP-7975 belongs to a different entry in that list
eip:7928,eip,prose,besu,2026-03-26,test(referencetests): validate block rejection reason against expected exception,mentions_only,Reference-test harness change; the EIP appears in test scaffolding rather than as the fix's subject
consensus_fn:process_bls_to_execution_change,consensus_fn,post_fix_code,teku,2022-11-10,Fix validator index check in verifyBlsToExecutionChanges,yes,Directly validates BLS-to-execution-change processing
consensus_fn:process_bls_to_execution_change,consensus_fn,post_fix_code,nimbus,2023-02-02,prioritize REST API-provided BLS to execution changes over gossip-received,yes,"Same spec operation, though it addresses a different concern than the Teku fix"
eip:7928,eip,dropped_by_policy,reth,2026-03-04,fix: defer insert_state until after block validation to prevent cache race,no,"Code-only match; state-insertion ordering race, not block-access-list work"
eip:7928,eip,dropped_by_policy,besu,2026-04-23,Pin Dockerfile base images by SHA256 digest for reproducible builds,no,Code-only match on a build-reproducibility commit with no protocol content
eip:7975,eip,dropped_by_policy,besu,2026-03-26,fix: check regular and state gas dimensions independently,no,Code-only match; the record's real prose anchor is EIP-8037
eip:2718,eip,dropped_by_policy,reth,2026-01-23,feat(rocksdb): static file based healing for TransactionHashNumbers,no,"Code-only match; storage healing, not typed-transaction envelope work"
eip:2718,eip,dropped_by_policy,reth,2026-02-06,perf: use separate pool for save_blocks,no,Code-only match; thread-pool change with no protocol content
eip:2718,eip,dropped_by_policy,reth,2026-04-27,feat: bound memory footpring of p2p messages,no,Code-only match; p2p memory bounds unrelated to the anchor
eip:2718,eip,dropped_by_policy,reth,2026-04-29,feat: introduce memory-bound channel for network<->tx manager messages,no,Code-only match; internal channel plumbing
eip:2718,eip,dropped_by_policy,erigon,2026-06-15,"execution/rlp, execution/types: reject malformed RLP instead of dropping entries",no,Code-only match; RLP strictness is adjacent to the typed-transaction envelope but the record does not invoke the EIP
