source_platform,label,root_cause,attack_path,severity,authority_tier,title,source_url
besu,gas,incorrect_gas_accounting,crafted_state,Critical,A_authoritative,Gas allocation error in CALL operations in Besu EVM [GHSA-4456-w38r-m5,https://github.com/besu-eth/besu/security/advisories/GHSA-4456-w38r-m53x
besu,transactions,missing_input_validation,malformed_input,High,A_authoritative,"SHL, SHR, and SAR operations trigger native exception at key values",https://github.com/besu-eth/besu/security/advisories/GHSA-7pg2-p5vj-xp5h
besu,rpc,resource_exhaustion,malformed_input,Low,A_authoritative,Potential DoS in Besu HTTP JSON-RPC API,https://github.com/besu-eth/besu/security/advisories/GHSA-qgfj-mjpc-7w3q
besu,rpc,missing_input_validation,crafted_state,Unrated,B_corroborated,Fix IndexOutOfBoundsException race condition in TransactionBroadcaster,https://github.com/besu-eth/besu/pull/10482
besu,other,other,internal_only,Unrated,A_authoritative,Update assertj for CVE-2026-24400,https://github.com/besu-eth/besu/pull/9710
besu,txpool,improper_state_update,crafted_state,Info,A_authoritative,Upgrade spring-security-crypto to address CVE-2025-22228 [#8448](https,https://github.com/hyperledger/besu/blob/main/CHANGELOG.md#L836
besu,transactions,resource_exhaustion,malformed_input,Unrated,B_corroborated,Safely handle race condition between isEmpty() and lastKey() being cal,https://github.com/besu-eth/besu/pull/8362
besu,blobs,crypto_misuse,malformed_input,Info,A_authoritative,Upgrade Netty to version 4.1.118 to fix CVE-2025-24970 [#8275](https:/,https://github.com/hyperledger/besu/blob/main/CHANGELOG.md#L878
besu,crypto,crypto_misuse,malformed_input,Unrated,A_authoritative,update jose4j version for handling cve CVE-2023-51775,https://github.com/besu-eth/besu/pull/7770
besu,serialization,resource_exhaustion,malformed_input,Unrated,A_authoritative,Update protobuf to 3.25.5 to resolve CVE-2024-7254,https://github.com/besu-eth/besu/pull/7664
besu,transactions,resource_exhaustion,crafted_state,Unrated,B_corroborated,Fix potential memory leak,https://github.com/besu-eth/besu/pull/7076
besu,txpool,resource_exhaustion,crafted_state,Unrated,B_corroborated,Fix txpool dump/restore race condition,https://github.com/besu-eth/besu/pull/6665
besu,transactions,missing_input_validation,malicious_block,Unrated,B_corroborated,Fix consensus vulnerability regarding excessively large 1559 fee field,https://github.com/besu-eth/besu/pull/2338
besu,rpc,resource_exhaustion,malformed_input,Unrated,B_corroborated,Fix tracer crash,https://github.com/besu-eth/besu/pull/2227
besu,evm,consensus_divergence,crafted_state,Unrated,B_corroborated,Fix crash unsupported fork name and add YOLOv2 compatibility (for evm ,https://github.com/besu-eth/besu/pull/1584
besu,other,other,internal_only,Unrated,C_candidate,Update acceptance tests build arguments to capture JVM crash logs,https://github.com/besu-eth/besu/pull/1327
besu,other,other,internal_only,Unrated,C_candidate,[#846] Log selected security module,https://github.com/besu-eth/besu/pull/860
besu,state-trie,incorrect_gas_accounting,crafted_state,Unrated,B_corroborated,[Pruning Bugfix] Prevent race condition in key deletion.,https://github.com/besu-eth/besu/pull/760
besu,state-trie,resource_exhaustion,malformed_input,Unrated,C_candidate,Security Module Plugin API,https://github.com/besu-eth/besu/pull/713
besu,sync,consensus_divergence,crafted_state,Unrated,B_corroborated,Fixes race condition between `NodeAddedListener` and `FullBlockImportS,https://github.com/besu-eth/besu/pull/56
erigon,precompiles,resource_exhaustion,malformed_input,Info,A_authoritative,"deps: bump golang.org/x/{net,crypto,sys} for security fixes (#21357)",https://github.com/erigontech/erigon/commit/7c048051604c52ca1b95420bc8203ab9dfa3a711
erigon,state-trie,missing_input_validation,malformed_input,Unrated,B_corroborated,[r3.4] ci(docs): mirror update-disk-sizes lint/security hardening from,https://github.com/erigontech/erigon/pull/21271
erigon,rpc,other,malformed_input,Unrated,C_candidate,up gqlparser version: there is security patch,https://github.com/erigontech/erigon/pull/10776
erigon,other,other,other,Unrated,C_candidate,grafana: up security fix version,https://github.com/erigontech/erigon/pull/4721
erigon,database,integer_overflow_underflow,large_input,Info,B_corroborated,db: fix integer overflow vulnerability in FixedSizeBitmapsWriter (#170,https://github.com/erigontech/erigon/commit/ee62d9c9371f4178903553691a18e47735894afd
erigon,other,other,internal_only,Info,A_authoritative,ci: fix undici CVE-2026-22036 in test_report script (#19796),https://github.com/erigontech/erigon/commit/ad6ca9a2d4dbcccc9b051a441432e1a4d6275755
erigon,p2p,other,malicious_p2p_message,Unrated,A_authoritative,Update qpack and quick-go (fixes Medium CVE-2024-53259),https://github.com/erigontech/erigon/pull/13256
erigon,evm,improper_state_update,malicious_tx,Unrated,A_authoritative,Add test for CVE-2020-26265,https://github.com/erigontech/erigon/pull/5450
erigon,sync,resource_exhaustion,crafted_state,Unrated,B_corroborated,Caplin: fixed remote DOS,https://github.com/erigontech/erigon/pull/13482
erigon,sync,unhandled_error_or_nil,malicious_p2p_message,Unrated,B_corroborated,cl/clstages: recover from panics in stage ActionFunc,https://github.com/erigontech/erigon/pull/21558
erigon,state-trie,integer_overflow_underflow,malformed_input,Unrated,B_corroborated,"db/recsplit/eliasfano16, db/recsplit/eliasfano32: don't panic in Build",https://github.com/erigontech/erigon/pull/21971
erigon,sync,missing_bounds_check,malicious_p2p_message,Info,B_corroborated,polygon/sync: ignore empty NewBlockHashes to prevent observer panic (#,https://github.com/erigontech/erigon/commit/bae1c116f8e5df9bd2bfe2ef27ce3b60690a8560
erigon,state-trie,unhandled_error_or_nil,malicious_attestation,Info,B_corroborated,"cl: GLOAS audit fixes — clone aliasing, PTC consistency, memory leaks,",https://github.com/erigontech/erigon/commit/93480e4c0f2d3060efff4ca18ece948f860e3804
