anchor,records,anchor_verdict,clearly_unrelated_examples
consensus_fn:process_block,32,contaminated,besu 'Validate RLPx frame size lower bound in deframer' (execution-client devp2p framing); lodestar 'Enable no-unsafe eslint rules'; lodestar 'Replace usage of chai assertion'; lighthouse 'Fix test OOM issues'
consensus_fn:process_execution_payload,14,contaminated,grandine 'Grandine 2.0.5 is a high-priority release' (release notes); lodestar 'Mev/Builder api integration'
consensus_fn:process_slot,5,contaminated,grandine 'Deprecate unsafe arithmetics'; lodestar 'Add assertion messages'
consensus_fn:get_ancestor,10,contaminated,nimbus 'Merge devel into master'; lighthouse 'Address clippy lints'; lodestar 'Add assertion messages'
consensus_fn:process_slots,24,contaminated,grandine 'Tracing updates'; grandine release notes; lodestar 'Add assertion messages'
consensus_fn:compute_signing_root,20,contaminated,lodestar 'Reorg uint variables'; lodestar 'Add e2e tests for sync and finalization'
consensus_fn:is_merge_transition_complete,6,contaminated,lighthouse 'Remove todo! lines from gloas'; lodestar 'Mev/Builder api integration'
consensus_fn:compute_proposer_index,3,contaminated,lodestar 'chore: improve benchmark'
consensus_fn:get_next_sync_committee,3,contaminated,lodestar 'test: fix benchmark memory regression'; teku 'fixes optimistic sync consensusValidated not called'
consensus_fn:get_base_reward_per_increment,3,contaminated,nimbus 'validate EL block hash when running consensus block tests'
consensus_fn:process_eth1_data_reset,2,contaminated,grandine 'Grandine 2.0.5 is a high-priority release' (release notes)
