id,severity_estimated,severity_source,impact_type,reachability,blast_radius,severity_why
besu:ghsa-advisory:GHSA-4456-w38r-m53x,Critical,bounty-graded,,,,
besu:hyperledger-besu:GHSA-7pg2-p5vj-xp5h,High,bounty-graded,,,,
besu:hyperledger-besu:GHSA-qgfj-mjpc-7w3q,Low,bounty-graded,,,,
besu:hyperledger-besu:PR#10482,not-eligible,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,The bug is a client-specific crash in P2P broadcasting that does not affect consensus or the network-scale stability of other clients.
besu:hyperledger-besu:PR#9710,not-eligible,upstream-cvss,,,,
e9c4d0538157b24f,not-eligible,upstream-cvss,,,,
besu:hyperledger-besu:PR#8362,low,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,Remote triggerable crash in client-specific mempool logic affecting a minority client (<10% share).
d03b52db03359043,not-eligible,upstream-cvss,,,,
besu:hyperledger-besu:PR#7770,not-eligible,upstream-cvss,,,,
besu:hyperledger-besu:PR#7664,not-eligible,upstream-cvss,,,,
besu:hyperledger-besu:PR#7076,low,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"A potential memory leak in a minor client's P2P transaction handling would only affect that specific client, not consensus, and likely requires multiple messages to crash the node."
besu:hyperledger-besu:PR#6665,not-eligible,llm-estimated,liveness_dos,local_internal,client_specific,"The issue is a local race condition in the client's transaction pool persistence logic, which does not impact network consensus or global liveness."
besu:hyperledger-besu:PR#2338,low,llm-estimated,liveness_dos,remote_single_message_or_tx,spec_level,"Maliciously large 1559 fee fields cause crashes in a minor client (<10% market share), leading to a liveness failure for those nodes."
besu:hyperledger-besu:PR#2227,not-eligible,llm-estimated,local_only,local_internal,client_specific,The crash is triggered via a local RPC debug call and does not affect network consensus or availability.
besu:hyperledger-besu:PR#1584,not-eligible,llm-estimated,none,local_internal,client_specific,"The fix addresses a crash in a local CLI tool (evmtool) used for testing, which has no impact on the network or remote users."
besu:hyperledger-besu:PR#1327,not-eligible,upstream-cvss,,,,
besu:hyperledger-besu:PR#860,not-eligible,llm-estimated,none,local_internal,client_specific,"The change is a benign logging addition to the CLI and has no impact on network stability, value integrity, or consensus."
besu:hyperledger-besu:PR#760,medium,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"A crafted transaction can trigger a race condition in Besu's pruning logic, causing crashes/DoS for Besu nodes, which represent <10% of the network."
besu:hyperledger-besu:PR#713,not-eligible,llm-estimated,none,local_internal,client_specific,The PR introduces a local plugin API for security modules and cannot be triggered by a remote network packet or transaction.
besu:hyperledger-besu:PR#56,not-eligible,llm-estimated,liveness_dos,local_internal,client_specific,"The bug is a local race condition in the client's pruning logic, not triggerable by a remote network packet or transaction."
93076007b5f6d2f2,not-eligible,upstream-cvss,,,,
erigon:erigontech-erigon:PR#21271,not-eligible,upstream-cvss,,,,
erigon:erigontech-erigon:PR#10776,not-eligible,llm-estimated,none,remote_single_message_or_tx,client_specific,"Updating a GraphQL parser dependency is a dependency hygiene task affecting only the local RPC layer, not the network-scale consensus or value integrity."
erigon:erigontech-erigon:PR#4721,not-eligible,llm-estimated,none,local_internal,client_specific,This is a dependency update for local monitoring tools (Grafana/Prometheus) and has no impact on network consensus or security.
19c01fce178a8733,not-eligible,llm-estimated,liveness_dos,local_internal,client_specific,The overflow occurs in a client-specific database writer and cannot be triggered by a single remote network packet or transaction.
d062b8ac653cd7a7,not-eligible,llm-estimated,none,local_internal,client_specific,"The fix addresses a CVE in a CI test reporting script, which has no impact on the network or the running client software."
erigon:erigontech-erigon:PR#13256,not-eligible,upstream-cvss,,,,
erigon:erigontech-erigon:PR#5450,not-eligible,llm-estimated,none,local_internal,client_specific,"The diff only adds a test case to a test file, which has no direct impact on the network and is categorized as tooling/testing."
erigon:erigontech-erigon:PR#13482,medium,llm-estimated,liveness_dos,remote_single_message_or_tx,client_specific,"A single remote packet could cause resource exhaustion and crash the client, which represents >5% of the network."
