id,source_platform,title,source_url,authority_tier,severity_estimated,severity_analysis_label,impact_type,audit_verdict,deployment_context,confirmed_chain_split,audit_reason,audit_basis,root_cause,attack_path,label
5106a70e2cbfc8ad,geth,core/types: ensure receipts EncodeIndex writes + support blobtx-receipts,https://github.com/ethereum/go-ethereum/pull/27470,B_corroborated,High,tier-uncertain,chain_split,availability_defect_not_chain_split,testnet_or_predeployment,False,"The source directly reports a blob-receipt encoding panic on blob testnets. That supports an availability defect, not the inferred chain-split outcome.",upstream title/description plus captured pre/post-fix code,improper_state_update,crafted_state,blobs
511d306991f1f534,erigon,EIP-7928: Add BAL max items cap and slot uniqueness validation (#19627),https://github.com/erigontech/erigon/commit/d38aee12149854e2f9da2c55acd345bf48cf8470,B_corroborated,High,tier-uncertain,chain_split,consensus_sensitive_defect,predeployment,False,"The source and diff add two missing EIP-7928 validity checks; this is a concrete conformance defect, but the description identifies a devnet spec.",upstream title/description plus captured pre/post-fix code,missing_input_validation,crafted_state,gas
cd61542cfa31ee40,geth,"trie, tests/fuzzers: implement a stacktrie fuzzer + stacktrie fixes",https://github.com/ethereum/go-ethereum/pull/21799,B_corroborated,High,tier-uncertain,chain_split,consensus_sensitive_defect,deployment_unclear,False,"Differential fuzzing found stack-trie crashes and a missing small-root commit. The defect is concrete, but a remotely constructible mainnet path is not shown.",upstream title/description plus captured pre/post-fix code,consensus_divergence,crafted_state,state-trie
fef6b529d2c24653,geth,core/vm: Correct the Memory Gas Overflow condition,https://github.com/ethereum/go-ethereum/pull/19348,B_corroborated,High,tier-uncertain,chain_split,consensus_sensitive_defect,deployed_code,False,The diff corrects an EVM memory-gas overflow boundary. Consensus sensitivity is direct; practical reachability and affected network share are not shown.,upstream title/description plus captured pre/post-fix code,integer_overflow_underflow,malformed_input,gas
lighthouse:networking:PR#3749,lighthouse,Two Capella bugfixes,https://github.com/sigp/lighthouse/pull/3749,C_candidate,High,tier-uncertain,chain_split,consensus_sensitive_defect,predeployment,False,"The source identifies two concrete Capella logic defects in payload defaults and epoch-boundary payload attributes, but they were fixed as fork work.",upstream title/description plus captured pre/post-fix code,missing_input_validation,crafted_state,fork-choice
lighthouse:networking:PR#457,lighthouse,Fix underflow in verify_transfer,https://github.com/sigp/lighthouse/pull/457,B_corroborated,High,tier-uncertain,chain_split,consensus_sensitive_defect,pre_mainnet,False,"Balance verification compared against the wrong amount. This is a concrete state-transition defect, but the record predates deployed Ethereum consensus.",upstream title/description plus captured pre/post-fix code,integer_overflow_underflow,crafted_state,beacon-chain:block-processing
lighthouse:networking:PR#5764,lighthouse,Fix Electra Fork Choice Tests,https://github.com/sigp/lighthouse/pull/5764,B_corroborated,High,tier-uncertain,chain_split,consensus_sensitive_defect,predeployment,False,Production verification code switches the indexed-attestation map key to a tree-hash root to prevent collisions. The defect is concrete but Electra-era.,upstream title/description plus captured pre/post-fix code,missing_input_validation,malicious_attestation,fork-choice
lighthouse:networking:PR#5772,lighthouse,PeerDAS spec tests,https://github.com/sigp/lighthouse/pull/5772,B_corroborated,High,tier-uncertain,chain_split,consensus_sensitive_defect,predeployment,False,The PR fixes overflow and ordering in PeerDAS custody-column computation. This is concrete spec logic but part of predeployment spec-test work.,upstream title/description plus captured pre/post-fix code,integer_overflow_underflow,malicious_attestation,data-availability-sampling
lighthouse:networking:PR#8496,lighthouse,fix(bls): fix is_infinity when aggregating onto empty AggregateSignature,https://github.com/sigp/lighthouse/pull/8496,B_corroborated,High,tier-uncertain,chain_split,consensus_sensitive_defect,deployment_unclear,False,A failing test and code diff directly establish incorrect BLS infinity-state tracking. Acceptance of an invalid consensus message is not demonstrated.,upstream title/description plus captured pre/post-fix code,missing_input_validation,crafted_state,bls
3d74c0f53be49bec,nethermind,fix: fix hardcoded PadDirection in SliceWithZeroPadding UInt256 overloads,https://github.com/NethermindEth/nethermind/pull/10800,B_corroborated,High,tier-uncertain,chain_split,consensus_sensitive_defect,deployment_unclear,False,The diff fixes a hard-coded EVM zero-padding direction in UInt256 overloads. A consensus-sensitive defect is plausible; an exercised opcode path is absent.,upstream title/description plus captured pre/post-fix code,other,malicious_tx,evm
d985fecc6f7d7397,lighthouse,[Merge] Optimistic EL verification (#2683),https://github.com/sigp/lighthouse/commit/67a6f91df6b4b6f077f8dfbf44d40a98d6bfa076,B_corroborated,High,tier-uncertain,chain_split,feature_or_predeployment_change,predeployment,False,"This is Merge optimistic-verification feature implementation with assorted error-handling changes, not source evidence of one exploited vulnerability.",upstream title/description plus captured pre/post-fix code,missing_input_validation,malformed_input,beacon-chain:block-processing
lighthouse:networking:PR#9233,lighthouse,Avoid 0x00 block hashes in fcU,https://github.com/sigp/lighthouse/pull/9233,C_candidate,High,tier-uncertain,chain_split,feature_or_predeployment_change,predeployment,False,The change avoids zero hashes in post-Gloas forkchoiceUpdated calls and adds mock-EL assertions. It is future-fork conformance work.,upstream title/description plus captured pre/post-fix code,consensus_divergence,crafted_state,fork-choice
62e8f286767d785e,lighthouse,Reset payload statuses when resuming fork choice (#3498),https://github.com/sigp/lighthouse/commit/8609cced0e4fe5c83a7485b3e7d11bbaaff975ae,B_corroborated,High,tier-uncertain,chain_split,operational_or_nonconsensus_change,deployed_code,False,The change lets Lighthouse recover after an execution-client consensus failure and requires restart. It does not fix a Lighthouse-originated split.,upstream title/description plus captured pre/post-fix code,consensus_divergence,malicious_block,fork-choice
lighthouse:networking:PR#4877,lighthouse,Fix for issue 4860 - Added in process_justification_and_finalization,https://github.com/sigp/lighthouse/pull/4877,B_corroborated,High,tier-uncertain,chain_split,operational_or_nonconsensus_change,deployed_code,False,The source changes the attestation-rewards calculation/API after an inactivity leak; it does not change canonical consensus state transition.,upstream title/description plus captured pre/post-fix code,missing_input_validation,malicious_attestation,beacon-chain:attestation
lighthouse:networking:PR#5037,lighthouse,Delete temporary mitigation for equivocation via RPC,https://github.com/sigp/lighthouse/pull/5037,B_corroborated,High,tier-uncertain,chain_split,operational_or_nonconsensus_change,deployed_code,False,This PR deletes a temporary workaround after a separate specification and implementation patch. The deletion is not the underlying vulnerability fix.,upstream title/description plus captured pre/post-fix code,consensus_divergence,malformed_input,beacon-chain:slashing
lighthouse:networking:PR#9177,lighthouse,Deprecate some `reorg`-related CLI flags and read from spec,https://github.com/sigp/lighthouse/pull/9177,B_corroborated,High,tier-uncertain,chain_split,operational_or_nonconsensus_change,deployed_code,False,"The PR moves proposer-reorg configuration from CLI defaults to specification values. It is local configuration alignment, not a remote chain-split fix.",upstream title/description plus captured pre/post-fix code,consensus_divergence,malformed_input,fork-choice
ab4b3b42313daaa5,geth,consensus/ethash: use 64bit indexes for the DAG generation,https://github.com/ethereum/go-ethereum/pull/21793,B_corroborated,High,tier-uncertain,chain_split,preventive_hardening_no_realized_failure,latent_future_condition,False,"The overflow occurs only once the Ethash DAG exceeds a 32-bit index. The source establishes a latent deterministic limit, not a remote malicious block.",upstream title/description plus captured pre/post-fix code,integer_overflow_underflow,malicious_block,sync
